microcanonical number of states:
    E, kcal/mol          rxn_1          rxn_2          rxn_3          rxn_4         rxn_24     rxn_eor2_1     rxn_eor2_3     rxn_eor2_6     rxn_eor2_8     rxn_eor5_1         rxn_21         rxn_31     rxn_eor5_4
            112     1.7787e+25    6.00651e+26    3.16101e+26    1.05669e+29    3.24083e+30    3.59012e+26    1.26316e+27    6.69605e+28    4.90765e+28    1.17909e+25    5.81721e+30    1.47267e+31    4.34252e+26
            113    2.32418e+25    7.98335e+26     4.1109e+26    1.35345e+29    4.02603e+30    4.75182e+26    1.65347e+27    8.53071e+28     6.3636e+28    1.55496e+25    7.42912e+30    1.88006e+31    5.78347e+26
            114    3.03081e+25    1.05856e+27    5.33552e+26    1.73051e+29    4.99487e+30    6.27494e+26     2.1598e+27    1.08502e+29    8.23556e+28     2.0462e+25    9.47137e+30    2.39605e+31    7.68405e+26
            115    3.94446e+25    1.40032e+27     6.9113e+26     2.2088e+29     6.1888e+30    8.26754e+26    2.81535e+27    1.37781e+29    1.06379e+29    2.68689e+25    1.20546e+31    3.04852e+31    1.01852e+27
            116    5.12351e+25    1.84819e+27    8.93512e+26    2.81448e+29    7.65826e+30    1.08687e+27    3.66238e+27    1.74682e+29    1.37154e+29    3.52079e+25    1.53168e+31    3.87224e+31    1.34691e+27
            117    6.64223e+25     2.4338e+27    1.15296e+27    3.58024e+29     9.4646e+30    1.42571e+27    4.75471e+27    2.21118e+29    1.76506e+29      4.604e+25    1.94298e+31     4.9105e+31    1.77715e+27
            118    8.59485e+25    3.19789e+27    1.48494e+27    4.54683e+29    1.16824e+31    1.86618e+27    6.16068e+27    2.79465e+29    2.26738e+29    6.00828e+25    2.46075e+31    6.21714e+31    2.33958e+27
            119    1.11008e+26    4.19275e+27    1.90899e+27      5.765e+29    1.44019e+31    2.43759e+27    7.96692e+27     3.5267e+29    2.90745e+29    7.82524e+25    3.11152e+31    7.85899e+31    3.07327e+27
            120    1.43112e+26    5.48538e+27    2.44966e+27    7.29782e+29     1.7733e+31    3.17737e+27    1.02831e+28     4.4438e+29    3.72167e+29    1.01717e+26     3.9282e+31    9.91891e+31    4.02835e+27
            121    1.84169e+26    7.16148e+27    3.13785e+27    9.22363e+29    2.18081e+31    4.13323e+27    1.32477e+28    5.59109e+29    4.75567e+29    1.31963e+26    4.95157e+31    1.24995e+32    5.26908e+27
