microcanonical number of states:
    E, kcal/mol          rxn_2          rxn_4          rxn_7          rxn_1          rxn_5
             34    6.61659e+18    1.03058e+07        1429.48
             35    1.05448e+19    1.41193e+07        4456.65
             36    1.66786e+19    1.91275e+07          11693
             37    2.61895e+19    2.56254e+07        27139.9
             38    4.08378e+19     3.3959e+07          57394
             39    6.32523e+19     4.4529e+07         112744
             40    9.73361e+19    5.77956e+07         208526
             41    1.48852e+20    7.42817e+07         366744
             42    2.26264e+20     9.4577e+07         617963
             43    3.41932e+20    1.19341e+08    1.00348e+06
             44    5.13822e+20    1.49305e+08    1.57773e+06
             45    7.67918e+20    1.85277e+08    2.41101e+06
             46    1.14161e+21    2.28142e+08    3.59235e+06
             47    1.68849e+21    2.78864e+08    5.23267e+06
             48    2.48495e+21    3.38488e+08    7.46807e+06
             49    3.63951e+21     4.0814e+08    1.04634e+07
             50     5.3056e+21    4.89032e+08    1.44157e+07
             51    7.69928e+21    5.82455e+08    1.95582e+07
             52    1.11236e+22    6.89786e+08    2.61638e+07
             53     1.6002e+22    8.12485e+08    3.45495e+07
             54    2.29237e+22    9.52093e+08    4.50795e+07
             55    3.27059e+22    1.11024e+09    5.81699e+07
             56    4.64778e+22    1.28862e+09    7.42922e+07
             57    6.57941e+22    1.48902e+09    9.39769e+07
             58     9.2788e+22    1.71332e+09    1.17818e+08
             59    1.30377e+23    1.96343e+09    1.46476e+08
             60    1.82539e+23    2.24139e+09    1.80681e+08
             61    2.54677e+23    2.54928e+09    2.21239e+08
             62    3.54111e+23    2.88924e+09     2.6903e+08
             63     4.9073e+23    3.26352e+09    3.25017e+08
             64    6.77844e+23    3.67439e+09    3.90245e+08
             65    9.33327e+23    4.12421e+09    4.65844e+08
             66    1.28111e+24    4.61539e+09    5.53036e+08
             67    1.75313e+24    5.15041e+09     6.5313e+08
             68    2.39194e+24    5.73178e+09    7.67531e+08
             69    3.25402e+24    6.36207e+09    8.97739e+08
             70    4.41417e+24    7.04393e+09    1.04535e+09
             71    5.97125e+24    7.78001e+09    1.21206e+09
             72     8.0555e+24    8.57302e+09    1.39967e+09
             73    1.08381e+25    9.42573e+09    1.61007e+09
             74    1.45437e+25    1.03409e+10    1.84526e+09
             75    1.94661e+25    1.13214e+10    2.10735e+09
             76    2.59887e+25      1.237e+10    2.39854e+09
             77     3.4611e+25    1.34897e+10    2.72115e+09
             78    4.59821e+25    1.46832e+10    3.07759e+09
             79    6.09437e+25    1.59537e+10    3.47039e+09
             80    8.05845e+25    1.73039e+10    3.90216e+09
             81    1.06311e+26     1.8737e+10    4.37565e+09
             82    1.39934e+26    2.02557e+10    4.89368e+09
             83    1.83785e+26    2.18632e+10    5.45919e+09
             84    2.40852e+26    2.35624e+10    6.07522e+09
             85    3.14965e+26    2.53563e+10    6.74491e+09
             86     4.1102e+26    2.72479e+10    7.47151e+09
             87    5.35263e+26    2.92402e+10    8.25834e+09
             88    6.95651e+26    3.13362e+10    9.10886e+09
             89    9.02296e+26    3.35389e+10    1.00266e+10
             90    1.16803e+27    3.58513e+10    1.10152e+10
             91    1.50912e+27    3.82764e+10    1.20783e+10
             92    1.94612e+27    4.08171e+10    1.32198e+10
             93    2.50498e+27    4.34764e+10    1.44436e+10
             94    3.21841e+27    4.62572e+10    1.57537e+10
             95    4.12756e+27    4.91624e+10    1.71541e+10
             96    5.28412e+27     5.2195e+10     1.8649e+10
             97    6.75293e+27    5.53578e+10    2.02427e+10
             98    8.61515e+27    5.86536e+10    2.19394e+10
             99    1.09723e+28    6.20854e+10    2.37436e+10
            100    1.39509e+28     6.5656e+10    2.56597e+10
            101     1.7709e+28     6.9368e+10    2.76922e+10
            102    2.24431e+28    7.32242e+10    2.98458e+10
            103    2.83972e+28    7.72275e+10    3.21252e+10
            104    3.58743e+28    8.13804e+10    3.45351e+10
            105      4.525e+28    8.56857e+10    3.70802e+10
            106    5.69887e+28    9.01459e+10    3.97655e+10
            107    7.16644e+28    9.47637e+10    4.25959e+10
            108    8.99855e+28    9.95416e+10    4.55762e+10
            109    1.12825e+29    1.04482e+11    4.87117e+10
            110    1.41257e+29    1.09588e+11    5.20073e+10
            111    1.76601e+29    1.14861e+11    5.54681e+10
            112    2.20479e+29    1.20304e+11    5.90993e+10
            113    2.74877e+29    1.25919e+11    6.29061e+10
